Country of Birth,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,"17,240","17,300","15,740","15,830","16,220","17,030","16,300","16,690","20,220","18,300","12,560"
New Zealand,"8,420","7,830","6,130","5,240","6,300","5,800","4,870","4,600","3,360","5,200","3,610"
New Caledonia,50,50,40,70,60,70,40,40,20,30,30
PNG,190,220,160,190,180,150,150,150,180,90,170
Solomon Islands,40,40,40,30,40,20,40,30,90,420,740
Vanuatu,30,40,30,20,30,30,50,80,410,"1,070",460
Kiribati,10,10,10,10,10,10,10,10,30,70,20
Cook Islands,160,150,160,140,140,130,90,100,90,70,50
Fiji,"1,240","1,200","1,220","1,060","1,040","1,190","1,230","1,650","1,510",930,"1,570"
French Poly,20,30,20,20,20,20,10,20,10,0,10
Niue,20,30,10,10,30,20,10,10,10,10,10
Samoa,820,"1,070",920,760,800,890,760,740,740,680,840
Samoa American,30,20,10,20,20,10,20,20,10,10,10
Tokelau,40,40,20,30,20,20,20,30,10,10,10
Tonga,480,330,450,330,340,370,470,530,870,710,710
"UK, CIs & IOM","13,160","13,450","11,640","11,000","10,770","11,650","10,610","10,080","9,210","4,740","5,800"
Ireland,"3,960","2,790","1,760","1,370","1,420","1,810","2,050","2,020","1,910",440,"1,440"
Austria,190,120,100,120,120,130,100,110,90,50,80
Belgium,190,200,220,230,280,240,280,230,260,60,130
France,"2,080","2,160","2,290","2,290","2,300","2,280","2,250","2,190","2,220",480,"1,040"
Germany,"1,750","1,630","1,600","1,640","2,080","2,370","1,620","1,440","1,580",450,840
Netherlands,570,570,570,660,710,890,650,570,640,210,340
Switzerland,310,320,290,260,250,260,270,250,230,150,140
Denmark,220,230,180,200,180,180,170,130,160,80,110
Finland,180,150,130,180,150,180,180,140,140,30,70
Iceland,10,10,10,10,10,20,10,20,10,10,0
Norway,180,160,180,140,150,160,160,140,120,40,100
Sweden,570,570,510,540,570,510,490,400,340,160,220
Italy,"1,470","2,220","2,230","2,070","1,700","1,630","1,350","1,270","1,310",220,660
Malta,70,60,50,40,40,50,50,40,40,20,20
Portugal,240,320,240,190,250,190,190,130,140,70,90
Spain,580,650,660,750,780,850,840,840,910,180,430
Albania,20,40,50,60,40,50,50,60,50,10,20
Bosnia/Herzegov,130,120,130,130,110,90,80,80,90,60,60
Bulgaria,60,80,90,90,110,90,90,60,60,30,30
Croatia,150,190,160,130,100,140,80,110,110,80,60
Cyprus,80,80,80,80,60,70,40,40,60,20,30
North Macedonia,170,220,270,210,200,220,220,160,180,80,130
Greece,730,750,570,450,400,370,330,240,290,130,140
Moldova,20,20,20,20,20,40,20,20,20,10,20
Romania,140,170,160,130,150,140,120,110,110,60,80
Slovenia,30,40,40,60,40,30,30,20,30,10,20
Serbia,130,150,130,130,140,150,160,120,140,50,80
Belarus,40,40,60,50,50,50,40,30,50,20,40
Czechia,330,410,410,390,380,300,300,230,220,60,90
Estonia,160,190,230,180,190,230,240,150,120,20,80
Hungary,210,260,190,160,180,170,120,110,120,60,80
Latvia,70,80,70,70,40,40,40,50,40,10,40
Lithuania,110,130,140,150,170,200,160,150,90,30,80
Poland,520,540,580,570,600,700,570,490,430,160,280
Russia,500,580,550,530,500,570,500,480,520,220,530
Slovakia,190,240,230,240,190,200,180,160,130,30,90
Ukraine,270,260,260,320,280,310,230,240,230,130,"1,350"
Algeria,40,50,40,30,40,30,40,50,50,10,20
Egypt,540,930,640,570,690,740,750,660,570,350,530
Libya,40,50,20,30,30,30,30,30,20,10,20
Morocco,40,80,70,60,80,70,70,50,80,30,50
Sudan,130,160,140,130,130,120,120,90,110,110,90
Tunisia,10,20,20,20,20,10,20,10,30,10,20
South Sudan,10,20,30,60,30,50,40,10,10,20,20
Bahrain,40,30,40,30,30,40,40,60,50,30,40
Iran,"1,600","1,770","1,380","1,200","1,260","1,410","1,280","1,460","1,340",580,"1,480"
Iraq,"1,510","2,400","3,100","2,590","1,940","5,880","2,420","4,370","4,210",320,"2,320"
Israel,230,210,220,220,270,260,240,210,250,150,120
Jordan,240,330,290,280,350,370,360,280,270,130,220
Kuwait,200,190,180,160,170,200,210,160,170,100,170
Lebanon,"1,370","1,380","1,350","1,420","1,200","1,380","1,350","1,340","1,500",910,"1,480"
Oman,50,40,60,90,100,90,50,60,50,40,50
Qatar,30,20,30,50,60,80,90,90,80,40,70
Saudi Arabia,710,780,760,730,650,780,860,"1,200",730,190,630
Syria,270,300,680,"1,920","1,070","4,250","1,800","1,110",480,140,620
Turkey,450,480,460,420,540,730,610,670,720,250,530
Unit Arab Emir,250,220,260,330,420,520,560,540,440,390,430
Yemen,10,10,10,10,20,30,50,60,20,20,40
Myanmar,390,420,410,370,430,400,350,490,480,180,560
Cambodia,350,360,430,410,430,440,530,470,460,200,420
Laos,110,90,120,120,130,150,190,150,210,30,180
Thailand,"2,430","3,170","4,160","4,370","3,840","3,380","2,190","2,430","1,950",670,"3,410"
Vietnam,"2,920","3,740","3,980","3,800","4,090","4,310","4,100","4,190","4,280","1,390","4,160"
Brunei,40,50,20,60,60,90,40,40,10,20,60
Indonesia,"2,590","2,510","2,650","2,980","2,720","3,130","2,860","3,330","3,280",700,"2,900"
Malaysia,"1,990","2,110","2,280","2,550","3,550","4,300","4,130","3,260","2,480",880,"1,620"
Philippines,"4,740","4,720","4,980","4,930","5,360","6,090","5,820","8,010","6,700","1,740","5,740"
Singapore,"1,150","1,240","1,130","1,120","1,080","1,270","1,110",990,820,770,"1,200"
Timor-Leste,30,20,20,20,10,20,20,20,50,30,30
China,"15,870","18,750","21,520","24,770","27,560","30,570","32,660","27,930","22,010","4,920","17,490"
Hong Kong,"1,600","1,950","2,080","2,080","2,040","2,140","1,760","1,980","2,200","1,810","3,640"
Macau,60,70,60,80,70,80,60,80,50,20,70
Mongolia,100,150,260,560,750,970,"1,180","1,530",680,20,650
Taiwan,"1,580","2,440","2,520","2,550","2,680","2,840","2,750","2,160","1,220",290,"1,290"
Japan,"2,160","2,100","2,120","1,960","2,170","2,110","1,960","1,900","1,310",750,"1,700"
"Korea, North",50,40,50,60,50,50,50,40,40,20,30
"Korea, South","6,130","6,210","5,650","5,560","5,610","5,570","4,800","4,150","2,580",700,"2,810"
Bangladesh,"1,510","1,470","1,620","2,000","2,200","2,190","2,190","1,990","2,060",560,"2,050"
Bhutan,130,120,170,110,130,110,110,90,100,10,170
India,"9,250","11,070","14,090","16,150","17,520","20,860","22,570","26,650","24,010","5,520","21,000"
Maldives,20,10,20,20,10,30,10,10,10,0,10
Nepal,"1,490","2,000","4,100","4,190","5,390","10,110","14,840","16,050","9,270",320,"16,330"
Pakistan,"2,320","2,720","2,920","3,440","3,230","3,500","3,780","3,440","3,420","1,090","3,770"
Sri Lanka,"1,150","1,280","1,100","1,140","1,180","1,240","1,200","1,380","1,470",770,"1,340"
Afghanistan,400,680,"1,050",650,670,710,710,690,690,520,"2,130"
Canada,"1,540","1,780","1,380","1,390","1,450","1,450","1,400","1,400","1,150",610,860
USA,"4,840","5,650","4,190","4,030","4,240","4,460","3,860","3,820","3,780","2,100","2,310"
Argentina,180,360,360,390,520,650,840,"1,450","2,330",150,"1,150"
Bolivia,20,20,20,10,20,20,20,20,20,10,20
Brazil,"1,340","1,440","2,150","2,720","3,930","5,150","4,770","3,930","2,780",270,"2,160"
Chile,400,400,470,580,870,960,"1,040","1,150","1,460",110,670
Colombia,720,770,810,960,"1,350","1,740","1,860","2,300","2,090",110,910
Peru,240,270,220,270,270,290,310,330,420,70,250
Uruguay,70,60,80,80,80,120,130,200,150,20,140
Venezuela,150,130,170,290,330,240,130,110,160,60,80
Costa Rica,10,10,30,10,20,20,20,30,20,10,20
El Salvador,30,20,30,30,20,30,30,20,50,20,10
Guatemala,20,10,20,20,10,20,20,30,20,20,20
Honduras,10,10,20,10,0,10,10,10,10,10,10
Mexico,270,270,290,250,340,330,370,420,320,80,230
Cameroon,10,10,10,20,10,10,10,10,10,10,20
"Congo, Rep",40,10,10,10,10,20,10,10,10,10,10
"Congo, Dem Rep",60,60,120,100,130,90,130,370,170,20,50
Ghana,150,190,160,150,180,230,180,170,140,50,210
Guinea,30,20,30,20,10,30,10,10,10,10,30
Liberia,50,30,20,30,10,20,20,10,10,10,30
Nigeria,160,270,320,410,510,690,490,500,380,170,670
Sierra Leone,80,60,60,20,30,70,60,30,30,20,70
Botswana,30,20,20,10,20,30,30,30,10,20,30
Eritrea,70,10,40,30,30,30,30,30,30,10,30
Ethiopia,110,70,110,100,80,120,90,110,110,70,90
Kenya,180,180,220,250,270,480,410,400,280,100,560
Malawi,20,20,10,20,20,30,10,50,20,10,20
Mauritius,110,130,120,110,110,120,110,120,130,20,110
Namibia,20,20,10,10,20,30,10,20,20,10,30
Somalia,50,70,80,70,60,40,50,30,30,60,40
South Africa,"1,930","1,660","1,590","1,520","1,880","2,460","2,030","2,160","2,300","1,780","1,800"
Tanzania,40,50,40,30,50,60,50,50,30,20,20
Uganda,30,60,70,40,50,80,60,80,60,20,60
Zambia,50,60,50,50,40,40,30,60,60,40,50
Zimbabwe,340,320,290,270,340,370,310,360,310,220,360
,,,,,,,,,,,
 ,,,,,,,,,,,
 ,,,,,,,,,,,
,,,,,,,,,,,
 ,,,,,,,,,,,
 ,,,,,,,,,,,
